"x","y"
"18.6","398"
"18.7","399"
"18.8","401"
"18.9","402"
"19","405"
"19.1","407"
"19.2","407"
"19.3","409"
"19.4","411"
"19.5","412"
"19.6","414"
"19.7","413"
"19.8","418"
"19.9","418"
"20","421"
"20.1","420"
"20.2","423"
"20.3","426"
"20.4","426"
"20.5","429"
"20.6","428"
"20.7","431"
"20.8","433"
"20.9","434"
"21","435"
"21.1","435"
"21.2","439"
"21.3","440"
"21.4","440"
"21.5","442"
"21.6","443"
"21.7","445"
"21.8","448"
"21.9","448"
"22","449"
"22.1","451"
"22.2","452"
"22.3","454"
"22.4","454"
"22.5","456"
"22.6","459"
"22.7","459"
"22.8","459"
"22.9","463"
"23","463"
"23.1","465"
"23.2","466"
"23.3","467"
"23.4","467"
"23.5","470"
"23.6","471"
"23.7","471"
"23.8","473"
"23.9","474"
"24","476"
"24.1","476"
"24.2","478"
"24.3","478"
"24.4","481"
"24.5","482"
"24.6","483"
"24.7","483"
"24.8","484"
"24.9","485"
"25","487"
"25.1","489"
"25.2","490"
"25.3","492"
"25.4","493"
"25.5","493"
"25.6","495"
"25.7","497"
"25.8","497"
"25.9","496"
"26","499"
"26.1","500"
"26.2","502"
"26.3","502"
"26.4","504"
"26.5","504"
"26.6","507"
"26.7","508"
"26.8","506"
"26.9","509"
"27","510"
"27.1","511"
"27.2","512"
"27.3","512"
"27.4","512"
"27.5","515"
"27.6","514"
"27.7","517"
"27.8","518"
"27.9","518"
"28","517"
"28.1","521"
"28.2","521"
"28.3","521"
"28.4","522"
"28.5","521"
"28.6","523"
"28.7","526"
"28.8","527"
"28.9","526"
"29","528"
"29.1","528"
"29.2","529"
"29.3","530"
"29.4","529"
"29.5","532"
"29.6","532"
"29.7","534"
"29.8","534"
"29.9","535"
"30","535"
"30.1","537"
"30.2","538"
"30.3","539"
"30.4","540"
"30.5","540"
"30.6","542"
"30.7","541"
"30.8","542"
"30.9","542"
"31","543"
"31.1","543"
"31.2","545"
"31.3","547"
"31.4","547"
"31.5","547"
"31.6","549"
"31.7","548"
"31.8","550"
"31.9","552"
"32","551"
"32.1","551"
"32.2","554"
"32.3","553"
"32.4","554"
"32.5","555"
"32.6","555"
"32.7","556"
"32.8","557"
"32.9","559"
"33","557"
"33.1","560"
"33.2","559"
"33.3","560"
"33.4","559"
"33.5","562"
"33.6","562"
"33.7","562"
"33.8","562"
"33.9","561"
"34","562"
"34.1","563"
"34.2","566"
"34.3","567"
"34.4","570"
"34.5","572"
"34.6","573"
"34.7","573"
"34.8","576"
"34.9","575"
"35","578"
"35.1","578"
"35.2","580"
"35.3","578"
"35.4","580"
"35.5","582"
"35.6","581"
"35.7","580"
"35.8","584"
"35.9","582"
"36","584"
"36.1","584"
"36.2","585"
"36.3","586"
"36.4","587"
"36.5","586"
"36.6","586"
"36.7","587"
"36.8","589"
"36.9","587"
"37","590"
"37.1","591"
"37.2","589"
"37.3","590"
"37.4","591"
"37.5","589"
"37.6","593"
"37.7","591"
"37.8","594"
"37.9","592"
"38","593"
"38.1","593"
"38.2","593"
"38.3","593"
"38.4","595"
"38.5","595"
"38.6","595"
"38.7","594"
"38.8","596"
"38.9","597"
"39","595"
"39.1","595"
"39.2","597"
"39.3","597"
"39.4","597"
"39.5","598"
"39.6","598"
"39.7","599"
"39.8","599"
"39.9","599"
"40","599"
"40.1","599"
"40.2","601"
"40.3","601"
"40.4","601"
"40.5","601"
"40.6","602"
"40.7","603"
"40.8","603"
"40.9","603"
"41","604"
"41.1","605"
"41.2","604"
"41.3","605"
"41.4","606"
"41.5","606"
"41.6","607"
"41.7","606"
"41.8","608"
"41.9","608"
"42","608"
"42.1","609"
"42.2","609"
"42.3","610"
"42.4","611"
"42.5","610"
"42.6","610"
"42.7","612"
"42.8","612"
"42.9","612"
"43","612"
"43.1","614"
"43.2","613"
"43.3","614"
"43.4","614"
"43.5","614"
"43.6","614"
"43.7","615"
"43.8","616"
"43.9","614"
"44","616"
"44.1","616"
"44.2","617"
"44.3","616"
"44.4","617"
"44.5","619"
"44.6","620"
"44.7","618"
"44.8","620"
"44.9","619"
"45","619"
"45.1","620"
"45.2","621"
"45.3","621"
"45.4","621"
"45.5","621"
"45.6","619"
"45.7","620"
"45.8","621"
"45.9","622"
"46","622"
"46.1","622"
"46.2","621"
"46.3","624"
"46.4","624"
"46.5","622"
"46.6","623"
"46.7","624"
"46.8","625"
"46.9","624"
"47","623"
"47.1","624"
"47.2","623"
"47.3","625"
"47.4","625"
"47.5","623"
"47.6","624"
"47.7","625"
"47.8","624"
"47.9","624"
"48","623"
"48.1","625"
"48.2","623"
"48.3","624"
"48.4","625"
"48.5","625"
"48.6","624"
"48.7","623"
"48.8","623"
"48.9","623"
"49","624"
"49.1","623"
"49.2","623"
"49.3","622"
"49.4","622"
"49.5","623"
"49.6","621"
"49.7","623"
"49.8","623"
"49.9","622"
"50","622"
"50.1","622"
"50.2","623"
"50.3","624"
"50.4","624"
"50.5","621"
"50.6","623"
"50.7","622"
"50.8","623"
"50.9","623"
"51","623"
"51.1","621"
"51.2","623"
"51.3","622"
"51.4","622"
"51.5","623"
"51.6","621"
"51.7","621"
"51.8","621"
"51.9","621"
"52","623"
"52.1","623"
"52.2","622"
"52.3","621"
"52.4","621"
"52.5","622"
"52.6","621"
"52.7","621"
"52.8","621"
"52.9","621"
"53","621"
"53.1","620"
"53.2","621"
"53.3","619"
"53.4","619"
"53.5","620"
"53.6","620"
"53.7","619"
"53.8","619"
"53.9","619"
"54","618"
"54.1","621"
"54.2","619"
"54.3","619"
"54.4","618"
"54.5","619"
"54.6","619"
"54.7","618"
"54.8","617"
"54.9","618"
"55","616"
"55.1","616"
"55.2","616"
"55.3","616"
"55.4","616"
"55.5","616"
"55.6","615"
"55.7","616"
"55.8","615"
"55.9","614"
"56","614"
"56.1","615"
"56.2","615"
"56.3","614"
"56.4","614"
"56.5","614"
"56.6","614"
"56.7","613"
"56.8","612"
"56.9","613"
"57","613"
"57.1","612"
"57.2","613"
"57.3","612"
"57.4","611"
"57.5","611"
"57.6","612"
"57.7","612"
"57.8","611"
"57.9","611"
"58","611"
"58.1","611"
"58.2","610"
"58.3","609"
"58.4","610"
"58.5","610"
"58.6","608"
"58.7","607"
